name,price,client_vendor_id,cpid,hsn_code,hsn_id
POLY FUN PLAY 12 CUTE CAT F GILHRI149-ANIMAL_SET-MDM| NR218076,60,4078,108889,95039090,819
POLY FUN PLAY 12 FUR F DOG NO1129-ANIMAL_SET-SML| NR218101,50,4078,108890,95039090,819
POLY FUN PLAY 12 PURSE F SMALL99-ANIMAL_SET-SML| NR218102,45,4078,108891,95039090,819
POLY FUN PLAY 12 PEN F BOX129-ANIMAL_SET-SML| NR218103,60,4078,108888,95039090,819
POLY FUN PLAY 12 TEDDY F JHULA249-BAG_TOY-MDM| NR218104,110,4078,108887,95039090,819
POLY FUN PLAY 12 BALL F NO199-ANIMAL_SET-SML| NR218106,42,4078,108896,95039090,819
POLY FUN PLAY 12 UNICON F SMALL199-ANIMAL_SET-MDM| NR218138,90,4078,108895,95039090,819
POLY FUN PLAY 12 HEART TEDDY F CAP179-ANIMAL_SET-MDM| NR218142,80,4078,108892,95039090,819
POLY FUN PLAY 12 TEDDY F BOW179-ANIMAL_SET-MDM | NR218143,80,4078,108798,95039090,819
POLY FUN PLAY 12 DOG F NYLEX199-ANIMAL_SET-MDM| NR218144,90,4078,108894,95039090,819
POLY FUN PLAY 12 CAT F CUTE GILHIRI149-ANIMAL_SET-MDM| NR218145,60,4078,108893,95039090,819
POLY FUN PLAY 12 DOLL F LYKRA249-BAG_TOY-MDM| NR218148,105,4078,108899,95039090,819
POLY FUN PLAY 12 DOG NO 1 F FUR 1129-BAG_TOY-SML| NR218153,50,4078,108898,95039090,819
POLY FUN PLAY 12 BAG F FUR BAG249-BAG_TOY-MDM| NR218154,105,4078,108897,95039090,819
POLY FUN PLAY 12 PURSE F SMALL99-ANIMAL_SET-SML | NR218155,45,4078,108799,95039090,819
POLY FUN PLAY 12 PEN F BOX129-SOFT_BALL-LRG| NR218156,60,4078,108900,95039090,819
POLY FUN PLAY 12 JHULA F JHULA249-BAG_TOY-MDM| NR218158,110,4078,108901,95039090,819
POLY FUN PLAY 12 TEDDY F NO3379-TEDDY_MIX-LRG| NR218162,160,4078,108903,95039090,819
POLY FUN PLAY 12 TEDDY F 20 CM179-ANIMAL_SET-MDM| NR218163,80,4078,108902,95039090,819
POLY FUN PLAY 12 FLOWER F BASKET199-ANIMAL_SET-MDM| NR218164,85,4078,108904,95039090,819
POLY FUN PLAY 12 BALL F NO1| NR218165,42,4078,108905,95039090,819
POLY FUN PLAY 12 TEDDY F BOW379-TEDDY_MIX-LRG | NR218077,160,4078,108797,95039090,819
POLY FUN PLAY 12 FUR F DOG129-ANIMAL_SET-SML | NR218100,50,4078,108800,95039090,819
POLY FUN PLAY 12 TEDDY F BOW179-ANIMAL_SET-MDM | NR218143,80,4078,108798,95039090,819
POLY FUN PLAY 12 PURSE F SMALL99-ANIMAL_SET-SML | NR218155,45,4078,108799,95039090,819
POLY FUN PLAY 12 TEDDY F CAP379-TEDDY_MIX-LRG | NR218157,165,4078,108796,95039090,819
SKR EMILI 6_7Y 3D SEA GREEN | NR251315,145,4078,108910,61119090,834
SKR EMILI 6_7Y 3D SEA GREEN | NR251316,145,4078,108908,61119090,834
SKR EMILI 2_3Y 3D SEA GREEN | NR251317,145,4078,108909,61119090,834
SKR EMILI 2_3Y 3D PEACH | NR251318,145,4078,108907,61119090,834
SKR EMILI 4_5Y 3D PEACH | NR251319,145,4078,108906,61119090,834
SKR EMILI 4_5Y 3D PEACH | NR251320,145,4078,108911,61119090,834
SKR EMILI 6_7Y 3D BABY PINK | NR251321,145,4078,108913,61119090,834
SKR EMILI 6_7Y 3D BABY PINK | NR251321,145,4078,108913,61119090,834
SKR EMILI 2_3Y 3D BABY PINK | NR251322,145,4078,108912,61119090,834
SKR EMILI 4_5Y 3D BABY PINK | NR251322,145,4078,108915,61119090,834
SKR EMILI 6_7Y 3D BABY PINK | NR251323,145,4078,108920,61119090,834
SKR EMILI 2_3Y 3D BABY PINK | NR251323,145,4078,108919,61119090,834
SKR EMILI 4_5Y 3D LEMON | NR251324,145,4078,108916,61119090,834
SKR EMILI 6_7Y 3D LEMON | NR251324,145,4078,108918,61119090,834
SKR EMILI 3D LEMON | NR251325,145,4078,108917,61119090,834
SKR EMILI 3D LEMON | NR251325,145,4078,108917,61119090,834
SKR EMILI 3D LEMON | NR251326,145,4078,108921,61119090,834
SKR EMILI 3D LEMON | NR251326,145,4078,108921,61119090,834
SKR EMILI 1 PEACH | NR255168,140,4078,108924,61119090,834
SKR EMILI 1 PEACH | NR255169,140,4078,108922,61119090,834
SKR EMILI 1 PEACH | NR255170,140,4078,108925,61119090,834
SKR EMILI 1 SEA GREEN | NR255171,140,4078,108926,61119090,834
SKR EMILI 1 SEA GREEN | NR255172,140,4078,108928,61119090,834
SKR EMILI 1 SEA GREEN | NR255173,140,4078,108927,61119090,834
PLS DHINGRA 12 MRVLMDL1 M DHO1 | NR274937,31,4078,108933,90041000,371
PLS DHINGRA 12 MRVLMDL2 M DHO2 | NR274938,31,4078,108931,90041000,371
PLS DHINGRA 12 MRVLMDL3 M DHO3 | NR274939,31,4078,108930,90041000,371
PLS DHINGRA 12 TNY M DHO4 | NR274940,41,4078,108932,90041000,371
PLS DHINGRA 12 DISY M DHO5 | NR274941,45,4078,108929,90041000,371
PLS DHINGRA 12 TWT M DHO6 | NR274942,40,4078,108938,90041000,371
PLS DHINGRA 12 SPDRBBY M DHO7 | NR274943,40,4078,108937,90041000,371
PLS DHINGRA 12 ALCOS M DHO8 | NR274952,48,4078,108936,90041000,371
PLS DHINGRA 12 CHRY M DHO9 | NR274953,52,4078,108934,90041000,371
PLS DHINGRA 12 FIGHT M DHO10 | NR274954,58,4078,108935,90041000,371
PLS DHINGRA 12 PKHRA M DHO11 | NR274958,68,4078,108939,90041000,371
PLS DHINGRA 12 GEM M DHO12 | NR274959,92,4078,108942,90041000,371
PLS DHINGRA 12 AROHA M DHO13 | NR274960,78,4078,108941,90041000,371
PLS DHINGRA 12 BALNO M DHO14 | NR274946,50,4078,108940,90041000,371
PLS DHINGRA 12 ATKPLS M DHO15 | NR274955,77,4078,108943,90041000,371
PLS DHINGRA 12 FSTSHW M DHO16 | NR274956,80,4078,108945,90041000,371
PLS DHINGRA 12 MTL SQR M DHO17 | NR274961,75,4078,108946,90041000,371
PLS DHINGRA 12 KS MTL M DHO18 | NR274962,90,4078,108944,90041000,371